obsID obs_collection dataproduct_type obs_id description type dataURI productType productGroupDescription productSubGroupDescription productDocumentationURL project prvversion proposal_id productFilename size parent_obsid dataRights calib_level filters
207057985 HST image hst_5864_03_wfpc2_pc_f656n_u2qy03 "HAP fits science image" D mast:HST/product/hst_5864_03_wfpc2_pc_f656n_u2qy03_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" HAP-SVM "DrizzlePac 3.6.2" 5864 hst_5864_03_wfpc2_pc_f656n_u2qy03_drz.fits 262751040 207057985 PUBLIC 3 F656N
23879867 HST image ibp701p5q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ibp701p5q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701p5q_drz.fits 217252800 23879867 PUBLIC 3 F555W
23879867 HST image ibp701p5q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ibp701p5q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701p5q_drz.fits 217252800 26553750 PUBLIC 3 F555W
23879878 HST image ibp701pqq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ibp701pqq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701pqq_drz.fits 217252800 23879878 PUBLIC 3 F814W
23879878 HST image ibp701pqq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ibp701pqq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701pqq_drz.fits 217252800 26553739 PUBLIC 3 F814W
23926253 HST image ic8k01gmq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k01gmq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k01gmq_drz.fits 217200960 23926253 PUBLIC 3 F606W
23926254 HST image ic8k01gpq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k01gpq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k01gpq_drz.fits 217200960 23926254 PUBLIC 3 F621M
23926255 HST image ic8k01grq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k01grq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k01grq_drz.fits 217200960 23926255 PUBLIC 3 F621M
23926256 HST image ic8k01gtq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k01gtq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k01gtq_drz.fits 217200960 23926256 PUBLIC 3 F606W
23926257 HST image ic8k01gvq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k01gvq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k01gvq_drz.fits 217200960 23926257 PUBLIC 3 F606W
23926259 HST image ic8k02obq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02obq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02obq_drz.fits 54354240 23926259 PUBLIC 3 F336W
23926259 HST image ic8k02obq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02obq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02obq_drz.fits 54354240 26595088 PUBLIC 3 F336W
23926260 HST image ic8k02ocq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02ocq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02ocq_drz.fits 54354240 23926260 PUBLIC 3 F547M
23926260 HST image ic8k02ocq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic8k02ocq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13334 ic8k02ocq_drz.fits 54354240 26595050 PUBLIC 3 F547M
